abertausend 	abertausend, Abertausend	abertausend, *Abertausend*
Imbiß	Imbiss	Imbiss; er holte sich am Imbissstand / Imbiss-Stand schnell noch einen Imbiss 
im folgenden (weiter unten)  im Folgenden (in den folgenden Ausführungen)	im Folgenden	im Folgenden 
im großen und ganzen	im Großen und Ganzen	im Großen und Ganzen; der Abend konnte im Großen und Ganzen als gelungen bezeichnet werden 
im klaren	im Klaren	im Klaren; er war sich über die Konsequenzen im Klaren 
immerwährend	immer während	immer während / immerwährend; ein immer währender / immerwährender Kalender 
im nachhinein	im Nachhinein	im Nachhinein; im Nachhinein tat ihm die Sache leid; aber: von vornherein 
im übrigen	im Übrigen	im Übrigen; ich bin im Übrigen (ferner) der Meinung, dass ...; auch: das Übrige; alles Übrige; alle Übrigen 
imstande	imstande / im Stande	imstande / im Stande (süddt. auch: imstand / im Stand); imstande / im Stande sein, sie fühlte sich nicht imstande / im Stande, ihm zu helfen 
im voraus	im Voraus	im Voraus; bei Bestellungen müssen Sie im Voraus bezahlen; vielen Dank im Voraus! 
im wesentlichen	im Wesentlichen	im Wesentlichen; im Wesentlichen hast du recht! 
in acht nehmen	in Acht nehmen	in Acht nehmen; nimm dich bloß in Acht! 
in bezug auf	in Bezug auf	in Bezug auf; in Bezug auf Ihr Schreiben vom ... 
in Frage	infrage / in Frage	infrage / in Frage; die infrage / in Frage kommenden Lösungen; das steht noch infrage / in Frage; musst du immer alles infrage / in Frage stellen? 
irgend etwas	irgendetwas	irgendetwas; es lag irgendetwas in der Luft, was beunruhigend war 
irgend jemand	irgendjemand	irgendjemand; sie sprach mit irgendjemand Unbekanntem; kann mir irgendjemand helfen? 
Joghurt	Joghurt / Jogurt	Joghurt / Jogurt; der Joghurt / Jogurt im Joghurtbecher / Jogurtbecher 
Joint-venture	Joint Venture / Jointventure	Joint Venture; die beiden Firmen bildeten ein Joint Venture 
jung und alt	Jung und Alt	Jung und Alt; ein Straßenfest für Jung und Alt (= für jedermann) 
jungverheiratet (vor kurzem)   jung verheiratet (in jungen Jahren)	jungverheiratet (vor kurzem)   jung verheiratet (in jungen Jahren)	jungverheiratet (vor kurzem); das jungverheiratete Paar fuhr in die Flitterwochen  jung verheiratet / jungverheiratet (in jungen Jahren); das jung verheiratete / jungverheiratete Paar feierte goldene Hochzeit 
Kaki / Khaki	Kaki / Khaki	Kaki / Khaki (Farbbezeichnung und Bezeichnung des Leinenstoffs dieser Farbe); die Pfadfinder trugen Uniformen aus Kaki / Khaki; ein kakifarbenes / khakifarbenes Hemd; aber: Kakibaum; Kaki (Frucht) 
kalt stellen (Getränke)  kaltstellen (einen Rivalen)	kalt stellen (Getränke)  kaltstellen (einen Rivalen)	kalt stellen / kaltstellen (Getränke)  kaltstellen (einen Rivalen) 
kaltgepresst	kalt gepresst	kalt gepresst / kaltgepresst; hochwertiges Olivenöl wird kalt gepresst / kaltgepresst; entsprechend: kalt geschleuderter / kaltgeschleuderter Honig 
kaltlächelnd	kalt lächelnd	kalt lächelnd / kaltlächelnd; er schmiss uns kalt lächelnd / kaltlächelnd raus 
Känguruh	Känguru	Känguru; im Zoo waren ein Gnu und ein Känguru zu sehen 
kennenlernen	kennen lernen	kennen lernen / kennenlernen; sie hatte einen netten Mann kennen gelernt / kennengelernt; um Natur und Land kennen zu lernen / kennenzulernen und lieben zu lernen; Substantivierung: Partys machen das Kennenlernen leicht 
Ketchup / Catchup	Ketchup / Ketschup	Ketchup / Ketschup; Pommes frites mit Tomatenketchup / Tomatenketschup 
klarwerden	klar werden	In wörtlicher Bedeutung klar werden: Das Wetter ist klar geworden.  In übertragener Bedeutung klar werden / klarwerden: Mir ist Verschiedenes klar geworden / klargeworden. 
klasse (das ist klasse!)	Klasse (das ist Klasse!)	klasse (das ist klasse!); ein klasse Vorschlag; das Konzert war klasse; aber: das hat Klasse; das ist große Klasse 
Kleingedruckte	klein Gedruckte / Kleingedruckte	klein Gedruckte / Kleingedruckte; oft übersieht man in Verträgen das klein Gedruckte / Kleingedruckte 
kleinhacken	klein hacken	klein hacken / kleinhacken; die Zwiebeln klein hacken / kleinhacken; aber: klein gehackte / kleingehackte Zwiebeln; aber nur: kleiner hacken; äußerst klein hacken; sehr klein gehackt; entsprechend: klein mahlen / kleinmahlen 
kleinkariert	kleinkariert (kleinlich; spießig)   klein kariert (mit kleinen Karos)	kleinkariert (kleinlich; spießig); er ist der kleinkarierteste Mensch, den ich kenne  klein kariert / kleinkariert (mit kleinen Karos); ein klein kariertes / kleinkariertes Hemd 
kleinschneiden	klein schneiden	klein schneiden / kleinschneiden; die Tomaten klein schneiden / kleinschneiden; aber: klein geschnittene / kleingeschnittene Tomaten; aber nur: kleiner schneiden; äußerst klein schneiden; sehr klein geschnitten; ebenfalls nur: klein würfeln 
kleinschreiben (nicht so wichtig nehmen)   klein schreiben (mit kleinem Anfangsbuchstaben schreiben; in kleiner Schrift schreiben)	kleinschreiben (mit kleinem Anfangsbuchstaben schreiben)  klein schreiben (nicht so wichtig nehmen; in kleiner Schrift schreiben)	kleinschreiben (mit kleinem Anfangsbuchstaben schreiben; nicht so wichtig nehmen)  klein schreiben (in kleiner Schrift schreiben) 
Know-how	Know-how	Know-how / Knowhow; ein Experte mit viel Know-how / Knowhow; die beiden Unternehmen vereinbarten einen Know-how-Transfer / Knowhowtransfer 
kommen lassen	kommen lassen	In wörtlicher Bedeutung kommen lassen: Er fühlte sich nicht wohl und musste einen Arzt kommen lassen.  In übertragener Bedeutung kommen lassen / kommenlassen: Zur Strategie gehörte, den Gegner erst kommen zu lassen / kommenzulassen. Du musst die Kupplung langsam kommen lassen / kommenlassen! 
konform gehen	konform gehen	konformgehen; in dieser Frage gehe ich mit dir konform; hier sollten wir konformgehen 
kopfstehen	Kopf stehen	kopfstehen; die Welt stand kopf; er versuchte 10 Minuten lang kopfzustehen; aber: auf dem Kopf stehen 
kostensparend	Kosten sparend	Kosten sparend / kostensparend; das neue Heizsystem arbeitet Energie und Kosten sparend / energie- und kostensparend; aber nur: ein höchst kostensparendes Heizsystem; das kostensparendste Heizsystem; entspr.: Kosten senkend / kostensenkend; Kosten deckend / kostendeckend 
kraftraubend	Kraft raubend / kraftraubend	Kraft raubend / kraftraubend; die Expedition war ein Kraft raubendes / kraftraubendes Unterfangen; aber nur: sehr viel Kraft raubend; äußerst kraftraubend; entsprechend:  Kraft sparend / kraftsparend;  Kräfte schonend / kräfteschonend;  Kräfte sparend / kräftesparend;  Kräfte raubend / kräfteraubend 
krankmachen	krankmachen	krankmachen (krankfeiern); sie hatte am Montag krankgemacht; aber: der Lärm hatte sie ganz krankgemacht / krank gemacht 
krank schreiben	krankschreiben	krankschreiben; der Arzt entschied, sie krankzuschreiben; er war für zwei Wochen krankgeschrieben; entsprechend: gesundschreiben; gesundgeschrieben 
krebserregend	Krebs erregend / krebserregend	Krebs erregend / krebserregend; aber nur: ein äußerst krebserregendes Mittel 
kriegführend	Krieg führend	Krieg führend / kriegführend; die Krieg führenden / kriegführenden Länder; entsprechend: die nicht Krieg führenden / nichtkriegführenden Parteien 
kurz fassen	kurz fassen	kurzfassen; ich werde versuchen, mich kurzzufassen; aber: ein kurzgefasster / kurz gefasster Bericht; ich habe den Bericht kurzgefasst / kurz gefasst 
langanhaltend	lang anhaltend	lang anhaltend / langanhaltend; lang anhaltender / langanhaltender Applaus; lang anhaltende / langanhaltende Regenfälle 
langgehegt	lang gehegt	lang gehegt / langgehegt; ein lang gehegter / langgehegter Wunsch ging in Erfüllung 
längsgestreift	längs gestreift / längsgestreift	längs gestreift / längsgestreift; eine längs gestreifte / längsgestreifte Markise 
lederverarbeitend	Leder verarbeitend	Leder verarbeitend / lederverarbeitend; die Leder verarbeitende / lederverarbeitende Industrie 
leer essen	leer essen	leer essen / leeressen; die Kinder hatten die Teller begeistert leer gegessen / leergegessen; entsprechend: leer trinken / leertrinken 
leerstehend	leer stehend	leer stehend / leerstehend; in dieser Gegend gibt es viele leer stehende / leerstehende Wohnungen; aber nur: wir haben festgestellt, dass hier viele Wohnungen leer stehen 
leid tun	Leid tun	leidtun; es tut mir leid; die Sache hatte ihm leidgetan; das braucht dir nicht leidzutun; das wird dir noch leidtun! 
leidtragend	Leid tragend / leidtragend	leidtragend; die leidtragende Minderheit; die Kinder waren bei der Trennung die Leidtragenden 
letztere; -r; -s	Letztere; -r; -s	Letztere; -r; -s; von den Vorschlägen gefällt mir der Letztere am besten; Ersteres und Letzteres 
liegenbleiben	liegen bleiben	In wörtlicher Bedeutung liegen bleiben: Das Buch kann hier liegen blieben; als der Wecker klingelte, wollte er noch ein bisschen liegen bleiben  In übertragener Bedeutung liegen bleiben / liegenbleiben; was in der Garderobe nicht alles liegen bleibt / liegenbleibt (vergessen wird)!; der Lastwagen ist mit defektem Motor liegen geblieben / liegengeblieben 
liegenlassen	liegen lassen	In wörtlicher Bedeutung liegen lassen; der Gast hatte 2 Euro Trinkgeld auf dem Tisch liegen lassen; du musst das Buch hier liegen lassen!  In übertragener Bedeutung liegen lassen / liegenlassen; er hatte sein Portemonnaie an der Kasse liegen lassen / liegenlassen (vergessen); sie hatte ihn links liegen lassen / liegenlassen (seltener: links liegen gelassen / liegengelassen) 
linksstehend	links stehend	links stehend / linksstehend; eine extrem links stehende / linksstehende Gruppierung; aber: der auf dem Foto links stehende / linksstehende Mann; aber nur: linksgerichtet; linksorientiert 
Litfaßsäule	Litfaßsäule	Litfaßsäule (keine Änderung, da das Wort auf den Namen des Erfinders Ernst Litfaß zurückgeht) 
Love-Story	Lovestory	Lovestory; die Bekanntschaft entwickelte sich schnell zu einer Lovestory; aber: Shortstory / Short Story (Kurzgeschichte) 
Mammographie	Mammographie	Mammografie / Mammographie (Röntgenuntersuchung der weiblichen Brust); zur Früherkennung von Brustkrebs ist die Mammografie / Mammographie derzeit die Methode der Wahl 
Marathon laufen	Marathon laufen	Marathon laufen / marathonlaufen; letzten Sommer ist er viel Marathon gelaufen / marathongelaufen; aber nur: er läuft Marathon; einen Marathon laufen 
maschineschreiben; aber: ich schreibe Maschine	Maschine schreiben	Maschine schreiben; Sie hat den Brief Maschine geschrieben; aber: ein maschinengeschriebener / maschinegeschriebener Brief 
maßhalten	Maß halten	Maß halten / maßhalten; er hält nie Maß / maß; sie hatte zeit ihres Lebens Maß gehalten / maßgehalten; ein Maß haltender / maßhaltender Wunsch 
metallverarbeitend	Metall verarbeitend	Metall verarbeitend / metallverarbeitend; die Metall verarbeitende / metallverarbeitende Industrie 
Mikrophon / Mikrofon	Mikrofon / Mikrophon	Mikrofon / Mikrophon; der Ehrengast wurde ans Mikrofon / Mikrophon gebeten; entsprechend: Babyfon / Babyphon; Diktafon / Diktaphon; Megafon / Megaphon; aber nur noch: Telefon; telefonieren 
mit Hilfe	mithilfe / mit Hilfe	mithilfe / mit Hilfe; er konnte sich nur mithilfe / mit Hilfe von Krücken fortbewegen; mithilfe / mit Hilfe aller Freunde gelang die Renovierung schnell 
mitleiderregend	Mitleid erregend / mitleiderregend	Mitleid erregend / mitleiderregend; aber nur: ein größtes Mitleid erregender Fall; ein äußerst mitleiderregender Fall 
Mittwoch abend	Mittwochabend	Mittwochabend 
Mittwoch abends / mittwochs abends	mittwochabends / mittwochs abends	mittwochabends / mittwochs abends 
Montag abend	Montagabend	Montagabend 
Montag abends / montags abends	montagabends / montags abends	montagabends / montags abends 
Mop	Mopp	Mopp; um den Boden zu moppen, braucht man einen Mopp; aber: Mob (Pöbel); Mobbing; mobben (Schikane am Arbeitsplatz) 
morgen früh	morgen früh	morgen Früh / morgen früh; ich werde gleich morgen Früh / morgen früh damit anfangen; aber nur: morgen Vormittag; morgen Nachmittag; morgen Abend 
Multiple-choice-Verfahren	Multiplechoiceverfahren / Multiple-Choice-Verfahren	Multiple-Choice-Verfahren; Prüfungen nach dem Multiple-Choice-Verfahren 
nächste  	Nächste	Nächste; sich selbst der Nächste sein; das nehmen wir uns als Nächstes vor 
naheliegend (klar, plausibel)   nahe liegend (in der Nähe liegend)	nahe liegend	naheliegend (klar, plausibel); das ist ein naheliegender Gedanke  nahe liegend / naheliegend (in der Nähe liegend); die nahe liegende / naheliegende Ortschaft 
nahestehend (vertraut sein)   nahe stehend (in der Nähe stehend)	nahe stehend	nahestehend (vertraut sein); er lud alle ihm nahestehenden Menschen ein  nahe stehend / nahestehend (in der Nähe stehend); das nahe stehende / nahestehende Haus 
näherkommen (sich gegenseitig annähern)    näher kommen (einem Ziel)  	näher kommen	näherkommen (sich gegenseitig annähern); sie waren sich im Gespräch nähergekommen; entsprechend: nahekommen  näher kommen (einem Ziel); der Wind erlaubte es, der Küste schnell näher zu kommen; entsprechend: nahe kommen 
Negligé / Négligé	Negligee / Negligé	Negligee / Negligé / Négligé (leichter, eleganter Morgenmantel; leichtes Hauskleid) 
neunziger Jahre (Jahrzehnt)     Neunzigerjahre (Lebensabschnitt)	Neunzigerjahre / neunziger Jahre (Jahrzehnt)    Neunzigerjahre / neunziger Jahre (Lebensabschnitt)	Neunzigerjahre / neunziger Jahre (Jahrzehnt); in den Neunzigerjahren / neunziger Jahren des 20. Jahrhunderts; mit Ziffern: die 90er-Jahre / 90er Jahre; Kurzform: in den Neunzigern  Neunzigerjahre / neunziger Jahre (Lebensabschnitt); sie war schon weit in den Neunzigerjahren / neunziger Jahren; Kurzform: in den Neunzigern 
nichtsahnend	nichts ahnend	nichts ahnend / nichtsahnend; die nichts ahnenden / nichtsahnenden Eltern 
nichts anderes	nichts anderes	nichts anderes / nichts Anderes; nichts anderes / nichts Anderes habe ich damit gemeint! 
nichtssagend	nichts sagend	nichts sagend / nichtssagend; ein nichts sagendes / nichtssagendes Gesicht 
Nichtzutreffendes	Nichtzutreffendes / nicht Zutreffendes	Nichtzutreffendes / nicht Zutreffendes; Nichtzutreffendes / nicht Zutreffendes bitte streichen! 
noch mal	noch mal	nochmal / noch mal (= noch einmal); das Kind wollte nochmal / noch mal mit dem Karussell fahren; aber nur: noch einmal; nochmals (= ein weiteres Mal; erneut); er betonte seine Forderung nochmals 
No-future-Generation	No-Future-Generation / Nofuturegeneration	No-Future-Generation; er war ein typischer Vertreter der No-Future-Generation 
not tun	Not tun	nottun; die Renovierung hatte notgetan; Eile tut not! 
notleidend	Not leidend	Not leidend / notleidend; die Not leidenden / notleidenden Menschen in der Dritten Welt; aber nur: größte Not leidende Menschen; äußerst notleidende Menschen; notleidende Kredite (Bankwesen) 
Null (Nullpunkt)	null (Nullpunkt)  	null (Nullpunkt); Die Tachonadel steht auf null; die Stunde null; jetzt müssen wir wieder bei null anfangen; die Stimmung war unter null gesunken; er war in null Komma nichts zur Stelle; aber: er ist eine absolute Null! 
numerieren; Numerierung	nummerieren; Nummerierung	nummerieren; Nummerierung; im Theater gab es nummerierte Plätze 
Nummer Sicher	Nummer Sicher /  Nummer sicher	Nummer Sicher / Nummer sicher; sie ging in allem stets ganz auf Nummer Sicher / Nummer sicher 
obengenannt; aber: die weiter oben genannten Mitwirkenden	oben genannt	oben genannt / obengenannt; die oben genannten / obengenannten Mitwirkenden  Substantivierung: die oben Genannten / Obengenannten; aber: die weiter oben Genannten 
offenbleiben	offen bleiben	In wörtlicher Bedeutung offen bleiben: Das Fenster soll offen bleiben; aber: das offen gebliebene / offengebliebene Fenster.  In übertragener Bedeutung offenbleiben: Die Frage musste offenbleiben; offengebliebene Fragen. 
offenhalten	offen halten	In wörtlicher Bedeutung offen halten: Der Fluchtweg muss offen gehalten werden; aber: der offen gehaltene / offengehaltene Fluchtweg.  In übertragener Bedeutung offenhalten: Man muss sich alle Möglichkeiten offenhalten; die offengehaltene Möglichkeit. 
ohne weiteres  (österr. auch: ohneweiters)	ohne weiteres  (österr. auch: ohneweiters)	ohne weiteres / ohne Weiteres (österr. auch: ohneweiters); ein Umtausch ist ohne weiteres / ohne Weiteres möglich 
Orthographie	Orthografie / Orthographie	Orthografie / Orthographie; in der Orthografie / Orthographie (= Rechtschreibung) war er sehr bewandert; orthografische / orthographische Feinheiten 
Panther	Panter / Panther	Panter / Panther 
papierverarbeitend	Papier verarbeitend	Papier verarbeitend / papierverarbeitend; die Papier verarbeitende / papierverarbeitende Industrie 
Paragraph	Paragraf / Paragraph	Paragraf / Paragraph; nicht jeder kennt sich im Paragrafendschungel / Paragraphendschungel aus 
Paßstraße	Passstraße	Passstraße / Pass-Straße; da der Tunnel gesperrt war, mussten wir die Passstraße / Pass-Straße nehmen 
Personalcomputer	Personalcomputer / Personal Computer	Personal Computer; 1981 stellte IBM den ersten Personal Computer (PC) vor 
Phantasie	Fantasie / Phantasie	Fantasie / Phantasie; die Lektüre beflügelte ihre Fantasie / Phantasie; entsprechend:  fantasieren / phantasieren;  Fantasterei / Phantasterei;  fantastisch / phantastisch;  fantasievoll / phantasievoll 
planschen	planschen / plantschen	planschen / plantschen; im Sommer planschen / plantschen die Kinder gerne im Planschbecken / Plantschbecken; du planschst / plantschst ja nur rum! 
plan schleifen	plan schleifen	plan schleifen / planschleifen 
Platitüde / Platitude	Plattitüde / Platitude	Plattitüde / Platitude; er gab nur Plattitüden / Platituden  (= Plattheiten) von sich 
platt drücken	platt drücken	platt drücken / plattdrücken; sich die Nasen platt drücken / plattdrücken 
platzen lassen	platzen lassen	platzenlassen / platzen lassen (ein Geschäft)  platzen lassen (einen Luftballon) 
plazieren / placieren	platzieren / placieren	platzieren / placieren; die deutsche Fußballmannschaft platzierte / placierte sich unter den ersten zehn; der Boxer platzierte / placierte seinen Schlag direkt am Kinn des Gegners 
pleite gehen	Pleite gehen	pleitegehen; nach der Wirtschaftskrise war die Firma pleitegegangen; aber: Pleite machen; pleite sein 
Pornographie	Pornografie / Pornographie	Pornografie / Pornographie; der Grat zwischen Kunst und Pornografie / Pornographie ist oft schmal; pornografische / pornographische Aufnahmen 
Portemonnaie	Portemonnaie / Portmonee	Portemonnaie / Portmonee; im Gedränge war ihm sein Portemonnaie / Portmonee abhandengekommen 
potentiell	potenziell / potentiell	potenziell /  potentiell; ein potenzieller / potentieller Kunde; entsprechend: Potential / Potenzial 
probefahren	Probe fahren	Probe fahren; er verlangte, das Motorrad erst Probe zu fahren; er hatte den Sportwagen Probe gefahren 
publik machen	publik machen	publik machen / publikmachen; der Popstar war bekannt dafür, seine Affären gerne publik zu machen / publikzumachen; aber nur: publik werden 
Pußta	Puszta	Puszta; eine regionale Spezialität der Puszta ist die Pusztasalami 
Quentchen	Quäntchen	Quäntchen; ein kleines Quäntchen Glück braucht jedermann 
quergestreift	quer gestreift / quergestreift	quer gestreift / quergestreift; ein quer gestreiftes / quergestreiftes T-Shirt 
querlesen	quer lesen	querlesen (flüchtig lesen); er las die Zeitschrift quer; sie hatte das Lehrbuch nur quergelesen 
rauh	rau	rau; eine raue Oberfläche; raue Sitten; entsprechend: Raufasertapete; Rauhaardackel; Raubein 
radfahren	Rad fahren	Rad fahren; Auto fahren und Rad fahren; aber: Auf dem Gehweg ist das Radfahren verboten; der Rad fahrende / radfahrende Teil der Bevölkerung 
ratsuchend	Rat suchend	Rat suchend / ratsuchend; er wandte sich Rat suchend / ratsuchend an einen Freund; der Andrang der Rat Suchenden / Ratsuchenden war groß 
recht geben	Recht geben	Recht geben / recht geben; der Erfolg gibt uns Recht / recht! 
recht haben	Recht haben	Recht haben / recht haben; wo du Recht / recht hast, hast du Recht / recht; wie Recht / recht sie doch hatte!; entsprechend: Recht bekommen / recht bekommen 
rechtsstehend	rechts stehend	rechts stehend / rechtsstehend; eine extrem rechts stehende / rechtsstehende Gruppierung; aber: der auf dem Foto rechts stehende / rechtsstehende Mann; aber nur: rechtsgerichtet; rechtsorientiert 
recyceln	recyceln	recyceln / recyclen; unsere Abfälle werden recycelt / recyclet; ich nutze nur recyceltes / recycletes Papier; diese Verpackung ist recycelbar / recyclebar 
rekeln / räkeln	rekeln / räkeln	rekeln / räkeln; sie rekelte / räkelte sich behaglich auf der Couch (keine Empfehlung, da regional je nach Aussprache unterschiedliche Handhabung; die ältere Form ist rekeln) 
respekteinflößend	Respekt einflößend	Respekt einflößend / respekteinflößend; eine Respekt einflößende / respekteinflößende Persönlichkeit; aber nur: großen Respekt einflößend; äußerst respekteinflößend; entsprechend: Respekt heischend / respektheischend 
richtigstellen (eine falsche Behauptung)    richtig stellen (eine Uhr; einen Schrank)	richtig stellen	richtigstellen (eine falsche Behauptung); das war ein Missverständnis, lassen Sie mich das richtigstellen!  richtig stellen / richtigstellen (eine Uhr; einen Schrank); richtig gestellte / richtiggestellte Uhren schützen vor Unpünktlichkeit 
Round table	Roundtable /  Round Table	Round Table; eine Round-Table-Konferenz; ein Round-Table-Gespräch; aber: ein Gespräch am runden Tisch 
rundmachen	rund machen	in wörtlicher Bedeutung rund machen / rundmachen; mit heißem Wasser kann man einen eingedrückten Tischtennisball wieder rund machen / rundmachen  in übertragener Bedeutung rundmachen; 1. tadeln, maßregeln: der Chef hat den neuen Angestellten rundgemacht; 2. optimieren, den letzten Schliff geben: wir müssen das Konzept noch rundmachen 
Samstag abend	Samstagabend	Samstagabend 
Samstag abends / samstags abends	samstagabends / samstags abends	samstagabends / samstags abends 
Sauerstoffflasche	Sauerstoffflasche	Sauerstoffflasche / Sauerstoff-Flasche; längeres Tauchen ist nur mit einer Sauerstoffflasche / Sauerstoff-Flasche möglich; entspr.: Kunststoffflasche / Kunststoff-Flasche 
scharfmachen (aufhetzen; anstacheln)    scharf machen (schärfen)	scharfmachen (aufhetzen; anstacheln)    scharf machen (schärfen)	scharfmachen (aufhetzen; anstacheln); einen Hund scharfmachen; sie hatte ihn ganz schön scharfgemacht (= sexuell angeregt)  scharf machen / scharfmachen (schärfen); die Bombe scharf machen / scharfmachen; die Currywurst scharf machen / scharfmachen 
schlechtmachen (herabsetzen)   schlecht machen (schlecht ausführen)	schlecht machen	schlechtmachen (herabsetzen); sie hatte ihn in der ganzen Stadt schlechtgemacht  schlecht machen (schlecht ausführen); die Filmkulissen waren schlecht gemacht und wirkten künstlich 
schneuzen	schnäuzen	schnäuzen; während der Vorstellung mussten sich viele vernehmlich schnäuzen; du schnäuzt dich aber oft, bist du erkältet? 
Schwarzer Peter	schwarzer Peter	schwarzer Peter / Schwarzer Peter (Kartenspiel); gestern haben wir den ganzen Nachmittag schwarzer Peter / Schwarzer Peter gespielt; aber nur: jemandem den schwarzen Peter zuschieben / zuspielen (= die Verantwortung abwälzen) 
schwerbehindert	schwer behindert	schwer behindert / schwerbehindert; aber nur: sehr schwer behindert; schwerer behindert; am schwersten behindert; schwerstbehindert; Schwerbehinderte 
schwerbewaffnet	schwer bewaffnet	schwer bewaffnet / schwerbewaffnet; die schwer bewaffneten / schwerbewaffneten Terroristen; aber nur: sie waren schwer bewaffnet 
schwerkrank	schwer krank	schwer krank / schwerkrank; sie ist eine schwer kranke / schwerkranke Frau; aber nur: der Patient ist schwer krank; der/die Schwerkranke 
schwertun	schwer tun	schwertun; er hatte sich mit den Änderungen schwergetan; wenn du dich mit der Hausarbeit nur nicht so schwertätest!; entsprechend: das darfst du nicht so schwernehmen!; aber: man sollte sich das Leben nicht unnötig schwer machen / schwermachen; aber nur: das wird sich schwer machen lassen 
schwerwiegend	schwer wiegend	schwer wiegend / schwerwiegend; ein schwer wiegender / schwerwiegender Verdacht; schwerer wiegende / schwerwiegendere Einwände; das am schwersten wiegende / schwerwiegendste Argument 
Science-fiction	Sciencefiction	Science-Fiction / Sciencefiction; er sieht sich gerne Science-Fiction-Filme / Sciencefiction-Filme / Sciencefictionfilme an 
seinlassen (unterlassen)	sein lassen (unterlassen)	sein lassen / seinlassen (unterlassen); er beschloss, das Trinken sein zu lassen / seinzulassen; kannst du das Rauchen nicht sein lassen / seinlassen? 
seit langem	seit langem	seit langem / seit Langem; seit längerem / seit Längerem; er ist schon seit längerem / seit Längerem Nichtraucher; entsprechend: seit kurzem / seit Kurzem 
seit neuestem	seit neuestem	seit neuestem / seit Neuestem; seit neuestem / seit Neuestem fährt hier auch die U-Bahn 
selbständig   Selbständigkeit	selbstständig / selbständig   Selbstständigkeit / Selbständigkeit	selbstständig /  selbständig  Selbstständigkeit / Selbständigkeit 
siebziger Jahre (Jahrzehnt)     Siebzigerjahre (Lebensabschnitt)	Siebzigerjahre / siebziger Jahre (Jahrzehnt)     Siebzigerjahre / siebziger Jahre (Lebensabschnitt)	Siebzigerjahre / siebziger Jahre (Jahrzehnt); die schrillen Siebzigerjahre / siebziger Jahre; mit Ziffern: die 70er-Jahre / 70er Jahre; Kurzform: in den Siebzigern  Siebzigerjahre / siebziger Jahre (Lebensabschnitt); sie war schon weit in den Siebzigerjahren / siebziger Jahren; Kurzform: in den Siebzigern 
selbstgemacht	selbst gemacht	selbst gemacht / selbstgemacht; sie schenkte ihm ein Glas ihrer selbst gemachten / selbstgemachten Marmelade; aber nur: sie hat die Marmelade selbst gemacht; entsprechend: ein selbst gebackener / selbstgebackener Kuchen; ein selbst geschriebener / selbstgeschriebener Brief; ein selbst gestrickter / selbstgestrickter Pullover; das erste selbst verdiente / selbstverdiente Geld 
sitzen bleiben (auf seinem Platz)  sitzenbleiben (in der Schule)	sitzen bleiben (auf seinem Platz)  sitzen bleiben (in der Schule)	sitzen bleiben (auf seinem Platz)  sitzen bleiben / sitzenbleiben (in der Schule) 
so daß	sodass / so dass	sodass / so dass; die Busse hatten Verspätung, sodass / so dass viele zu spät zur Arbeit kamen 
sogenannt	so genannt	so genannt / sogenannt; aber nur: die fälschlich so genannten ... 
soviel	so viel	so viel; er nahm so viel, wie er tragen konnte; so viel dazu!; aber: zum sovielten Mal, das sovielte Mal; soviel er auch spart, nie ist Geld da; soviel ich weiß, ist sie verreist 
Sonntag abend	Sonntagabend	Sonntagabend 
Sonntag abends / sonntags abends	sonntagabends / sonntags abends	sonntagabends / sonntags abends 
soweit	so weit	so weit; so weit das Auge reicht; so weit, so gut!; aber: soweit ich weiß, ist sie verreist; soweit ich das beurteilen kann, ist das eine gute Arbeit 
Spaghetti	Spaghetti / Spagetti	Spaghetti / Spagetti; Spaghetti / Spagetti bolognese schmecken al dente am besten 
spitze (das ist spitze!)	Spitze (das ist spitze!)	spitze (das ist spitze!); ein spitze Vorschlag; das Konzert war spitze; aber: das ist einsame Spitze 
sprechen lassen	sprechen lassen	(Blumen) sprechen lassen / sprechenlassen 
Stengel	Stängel	Stängel; die Pflanze hatte einen langen Stängel; eine langstängelige Pflanze 
Stenographie	Stenografie / Stenographie	Stenografie / Stenographie; mit Kurzschriftsystemen wie der Stenografie / Stenographie können hohe Schreibgeschwindigkeiten erreicht werden; entsprechend: Demografie / Demographie 
Stilleben	Stillleben	Stillleben / Still-Leben; das holländische Stillleben / Still-Leben stammte aus dem  17. Jahrhundert 
strenggenommen	streng genommen	streng genommen / strenggenommen; ein sehr streng genommenes / strenggenommenes Reglement; aber nur: streng genommen[,] stimmt das 
Telegrafie / Telegraphie	Telegrafie / Telegraphie	Telegrafie / Telegraphie; die elektrische Telegrafie / Telegraphie wurde 1833 erfunden; aber nur noch: Telefonie; Telefon 
Tête-à-tête	Tête-à-Tête /  Tete-a-Tete	Tête-à-tête / Tete-a-tete; sie trafen sich zum Tête-à-tête / Tete-a-tete (zum vertraulichen Zusammensein); aber: sie besprachen sich tête-à-tête  (= unter vier Augen) 
Thunfisch	Tunfisch / Thunfisch	Tunfisch / Thunfisch; der biologische Oberbegriff für Tunfische / Thunfische lautet Thunnus 
Tip	Tipp	Tipp; einen heißen Tipp bekommen; Geheimtipp; Börsentipp; Insidertipp 
todblaß	todblass	todblass; als er die Nachricht erhielt, wurde er todblass; aber: totenblass 
Tolpatsch	Tollpatsch	Tollpatsch; sie stellte sich in allem sehr tollpatschig an 
